index,ranking
0,"maats,zero_shot,single_agent"
1,"single_agent,zero_shot,maats"
2,"zero_shot,single_agent,maats"
3,"single_agent,zero_shot,maats"
4,"zero_shot,maats,single_agent"
5,"zero_shot,maats,single_agent"
6,"maats,single_agent,zero_shot"
6,"single_agent,maats,zero_shot"
8,"zero_shot,maats,single_agent"
9,"zero_shot,maats,single_agent"
10,"maats,single_agent,zero_shot"
11,"single_agent,zero_shot,maats"
12,"maats,single_agent,zero_shot"
13,"single_agent,maats,zero_shot"
14,"single_agent,zero_shot,maats"
15,"maats,zero_shot,single_agent"
16,"zero_shot,single_agent,maats"
17,"maats,single_agent,zero_shot"
18,"maats,single_agent,zero_shot"
19,"maats,single_agent,zero_shot"
20,"maats,zero_shot,single_agent"
21,"zero_shot,single_agent,maats"
22,"maats,zero_shot,single_agent"
23,"maats,single_agent,zero_shot"
24,"maats,single_agent,zero_shot"
25,"zero_shot,maats,single_agent"
26,"single_agent,zero_shot,maats"
27,"maats,zero_shot,single_agent"
28,"zero_shot,maats,single_agent"
29,"single_agent,zero_shot,maats"
30,"maats,single_agent,zero_shot"
31,"zero_shot,maats,single_agent"
32,"maats,single_agent,zero_shot"
33,"single_agent,maats,zero_shot"
34,"single_agent,zero_shot,maats"
35,"single_agent,zero_shot,maats"
36,"zero_shot,maats,single_agent"
37,"zero_shot,single_agent,maats"
38,"zero_shot,maats,single_agent"
39,"maats,zero_shot,single_agent"
40,"zero_shot,maats,single_agent"
41,"single_agent,zero_shot,maats"
42,"maats,single_agent,zero_shot"
43,"maats,zero_shot,single_agent"
44,"single_agent,maats,zero_shot"
45,"zero_shot,maats,single_agent"
46,"maats,zero_shot,single_agent"
47,"zero_shot,maats,single_agent"
48,"maats,single_agent,zero_shot"
49,"maats,zero_shot,single_agent"
50,"zero_shot,maats,single_agent"
51,"zero_shot,single_agent,maats"
52,"zero_shot,single_agent,maats"
53,"maats,single_agent,zero_shot"
54,"zero_shot,single_agent,maats"
55,"zero_shot,single_agent,maats"
56,"maats,zero_shot,single_agent"
57,"single_agent,maats,zero_shot"
58,"single_agent,zero_shot,maats"
59,"maats,single_agent,zero_shot"
60,"maats,single_agent,zero_shot"
61,"zero_shot,maats,single_agent"
62,"single_agent,maats,zero_shot"
63,"zero_shot,maats,single_agent"
64,"maats,single_agent,zero_shot"
65,"single_agent,zero_shot,maats"
66,"maats,zero_shot,single_agent"
67,"maats,zero_shot,single_agent"
68,"single_agent,maats,zero_shot"
69,"zero_shot,maats,single_agent"
70,"maats,single_agent,zero_shot"
71,"single_agent,maats,zero_shot"
72,"zero_shot,single_agent,maats"
73,"single_agent,zero_shot,maats"
74,"single_agent,maats,zero_shot"
75,"single_agent,maats,zero_shot"
76,"maats,single_agent,zero_shot"
77,"zero_shot,single_agent,maats"
78,"single_agent,zero_shot,maats"
79,"single_agent,zero_shot,maats"
80,"maats,single_agent,zero_shot"
81,"maats,single_agent,zero_shot"
82,"zero_shot,single_agent,maats"
83,"zero_shot,maats,single_agent"
84,"zero_shot,maats,single_agent"
85,"maats,zero_shot,single_agent"
86,"maats,single_agent,zero_shot"
87,"zero_shot,single_agent,maats"
88,"maats,single_agent,zero_shot"
89,"zero_shot,maats,single_agent"
90,"maats,zero_shot,single_agent"
91,"maats,single_agent,zero_shot"
92,"single_agent,maats,zero_shot"
93,"zero_shot,single_agent,maats"
94,"single_agent,maats,zero_shot"
95,"single_agent,zero_shot,maats"
96,"maats,zero_shot,single_agent"
97,"single_agent,zero_shot,maats"
98,"maats,single_agent,zero_shot"
99,"zero_shot,single_agent,maats"
100,"zero_shot,maats,single_agent"
101,"zero_shot,single_agent,maats"
102,"zero_shot,maats,single_agent"
103,"single_agent,maats,zero_shot"
104,"maats,zero_shot,single_agent"
105,"single_agent,zero_shot,maats"
105,"single_agent,zero_shot,maats"
105,"single_agent,zero_shot,maats"
108,"maats,zero_shot,single_agent"
109,"maats,single_agent,zero_shot"
110,"single_agent,maats,zero_shot"
111,"zero_shot,maats,single_agent"
112,"zero_shot,maats,single_agent"
113,"zero_shot,single_agent,maats"
114,"zero_shot,single_agent,maats"
115,"zero_shot,single_agent,maats"
116,"maats,single_agent,zero_shot"
117,"maats,single_agent,zero_shot"
118,"maats,single_agent,zero_shot"
119,"maats,single_agent,zero_shot"
120,"maats,single_agent,zero_shot"
121,"maats,zero_shot,single_agent"
122,"single_agent,maats,zero_shot"
123,"zero_shot,single_agent,maats"
124,"single_agent,maats,zero_shot"
125,"maats,single_agent,zero_shot"
126,"maats,zero_shot,single_agent"
127,"maats,zero_shot,single_agent"
128,"maats,zero_shot,single_agent"
129,"zero_shot,maats,single_agent"
130,"maats,zero_shot,single_agent"
131,"maats,single_agent,zero_shot"
132,"zero_shot,maats,single_agent"
133,"zero_shot,maats,single_agent"
134,"single_agent,maats,zero_shot"
135,"single_agent,maats,zero_shot"
136,"maats,single_agent,zero_shot"
137,"single_agent,zero_shot,maats"
138,"zero_shot,maats,single_agent"
139,"zero_shot,maats,single_agent"
140,"zero_shot,maats,single_agent"
141,"single_agent,maats,zero_shot"
142,"zero_shot,maats,single_agent"
143,"zero_shot,maats,single_agent"
144,"maats,zero_shot,single_agent"
145,"zero_shot,single_agent,maats"
146,"maats,single_agent,zero_shot"
147,"maats,single_agent,zero_shot"
148,"single_agent,zero_shot,maats"
149,"zero_shot,maats,single_agent"
150,"maats,single_agent,zero_shot"
