model,language_pair,bleu_single_agent_mean,bleu_single_agent_std,bleu_zero_shot_mean,bleu_zero_shot_std,bleu_improved_mean,bleu_improved_std,bleurt_single_agent_mean,bleurt_single_agent_std,bleurt_zero_shot_mean,bleurt_zero_shot_std,bleurt_improved_mean,bleurt_improved_std,meteor_single_agent_mean,meteor_single_agent_std,meteor_zero_shot_mean,meteor_zero_shot_std,meteor_improved_mean,meteor_improved_std,comet_single_agent_mean,comet_single_agent_std,comet_zero_shot_mean,comet_zero_shot_std,comet_improved_mean,comet_improved_std
Gemini,DE_EN,0.3113299401197605,0.18670544629576935,0.3797670658682635,0.18725649969999233,0.38203113772455094,0.20140549277161557,0.7066263473053892,0.08626033460249313,0.7014652694610779,0.08942669605462471,0.7355892215568862,0.07791548868550603,0.5535622754491017,0.18680857756704447,0.6172275449101796,0.18160551636461023,0.6137191616766468,0.1768745365472686,0.8260754491017962,0.06523319565458326,0.8273335329341316,0.07004859983360127,0.8437970059880238,0.05875694824346739
gpt-4o,DE_EN,0.3655171052631579,0.1730748062022077,0.3630173245614035,0.20160741980685618,0.44842960526315795,0.18290459982757568,0.7305473684210526,0.08323132462993112,0.6876618421052632,0.11305003906228342,0.756990350877193,0.0872681916240228,0.6185377192982455,0.1619581223258483,0.6411217105263157,0.19059796970348253,0.6899964912280703,0.14642837978084672,0.8424978070175438,0.06411726204294406,0.7790052631578948,0.11712093015311394,0.858926754385965,0.05983373398167701
Gemini,EN_DE,0.3378118721461187,0.17270593569816317,0.34937442922374434,0.18064832753783963,0.34501187214611867,0.19747687646694118,0.7102958904109589,0.09661954059731209,0.7128534246575343,0.1025713652865654,0.7241981735159817,0.09788328612725807,0.5572721461187214,0.16673836479345988,0.5685684931506849,0.17321499914663963,0.5608050228310503,0.1760973709548903,0.8343506849315068,0.07243063582773143,0.8388954337899543,0.07261005741472512,0.8424447488584473,0.06979990607039982
gpt-4o,EN_DE,0.383,0.1811176630060159,0.3607268292682927,0.17771336199165097,0.4058951219512195,0.18037331832560133,0.7068207317073172,0.10477514426572286,0.7013853658536586,0.10193422590226885,0.710064024390244,0.09996980702915884,0.5870256097560975,0.15805778923827107,0.5592676829268293,0.1819099247659142,0.6057951219512195,0.1489219410158757,0.8419957317073171,0.06755621549205194,0.8315463414634143,0.08224602281412507,0.8443780487804878,0.06100720067002499
Gemini,EN_HE,0.23223067226890756,0.20508329424516542,0.24181554621848741,0.20302562653900844,0.23392478991596635,0.21362849850717072,0.7355672268907562,0.1589668102765247,0.6940558823529411,0.1653549873541438,0.7635142857142857,0.1463777410885839,0.4311672268907563,0.22883288251408185,0.44063739495798315,0.23995084638338945,0.4287504201680672,0.23734189154221252,0.8399941176470589,0.10717506818058725,0.8301428571428572,0.11314466045408703,0.8407726890756303,0.10756038344301887
